Date,Weekly Regular Average,Weekly Midgrade Average,Weekly Premium Average
10/30/2017,2.421,2.697,2.998
11/6/2017,2.607,2.887,3.182
11/13/2017,2.482,2.762,3.055
11/20/2017,2.538,2.819,3.122
11/27/2017,2.388,2.665,2.968
12/4/2017,2.249,2.532,2.84
12/11/2017,2.334,2.621,2.927
12/18/2017,2.2,2.485,2.793
12/25/2017,2.367,2.639,2.943
1/1/2018,2.467,2.744,3.044
1/8/2018,2.373,2.658,2.961
1/15/2018,2.457,2.738,3.042
1/22/2018,2.343,2.62,2.925
1/29/2018,2.426,2.709,3.012
2/5/2018,2.489,2.773,3.076
2/12/2018,2.331,2.614,2.919
2/19/2018,2.2,2.486,2.791
2/26/2018,2.263,2.55,2.853
3/5/2018,2.363,2.649,2.958
3/12/2018,2.393,2.674,2.975
3/19/2018,2.486,2.768,3.071
3/26/2018,2.382,2.664,2.966
4/2/2018,2.454,2.729,3.033
4/9/2018,2.544,2.829,3.132
4/16/2018,2.582,2.87,3.188
4/23/2018,2.675,2.96,3.277
4/30/2018,2.763,3.052,3.367
5/7/2018,2.626,2.92,3.238
5/14/2018,2.784,3.067,3.437
5/21/2018,2.838,3.142,3.505
5/28/2018,2.847,3.139,3.514
6/4/2018,2.749,3.036,3.412
6/11/2018,2.743,3.04,3.414
6/18/2018,2.642,2.93,3.308
6/25/2018,2.552,2.836,3.212
7/2/2018,2.698,2.991,3.364
7/9/2018,2.745,3.059,3.44
7/16/2018,2.82,3.121,3.495
7/23/2018,2.692,2.984,3.365
7/30/2018,2.735,3.048,3.423
8/6/2018,2.753,3.051,3.432
8/13/2018,2.647,2.943,3.327
8/20/2018,2.689,2.996,3.37
8/27/2018,2.832,3.126,3.507
9/3/2018,2.702,3.004,3.391
9/10/2018,2.707,3.025,3.403
9/17/2018,2.757,3.049,3.431
9/24/2018,2.76,3.083,3.454
10/1/2018,2.697,3.003,3.38
10/8/2018,2.801,3.105,3.484
10/15/2018,2.631,2.938,3.309
10/22/2018,2.527,2.831,3.21
10/29/2018,2.64,2.968,3.337
11/5/2018,2.497,2.821,3.208
11/12/2018,2.373,2.685,3.058
11/19/2018,2.391,2.707,3.077
11/26/2018,2.238,2.555,2.936
12/3/2018,2.074,2.394,2.77
12/10/2018,2.163,2.488,2.856
12/17/2018,2.042,2.362,2.734
12/24/2018,2.008,2.335,2.705
12/31/2018,1.866,2.178,2.545
1/7/2019,1.935,2.243,2.62
1/14/2019,1.999,2.326,2.696
1/21/2019,1.911,2.22,2.65
1/28/2019,1.988,2.31,2.694
2/4/2019,2.09,2.406,2.773
2/11/2019,2.165,2.468,2.84
2/18/2019,2.207,2.526,2.901
2/25/2019,2.331,2.624,3.005
3/4/2019,2.369,2.672,3.042
3/11/2019,2.433,2.734,3.111
3/18/2019,2.321,2.61,2.99
3/25/2019,2.486,2.82,3.198
4/1/2019,2.539,2.856,3.237
4/8/2019,2.641,2.944,3.329
4/15/2019,2.659,2.975,3.361
4/22/2019,2.571,2.881,3.261
4/29/2019,2.67,2.975,3.352
5/6/2019,2.739,3.06,3.445
5/13/2019,2.584,2.888,3.278
5/20/2019,2.707,3.003,3.368
5/27/2019,2.596,2.886,3.275
6/3/2019,2.739,3.038,3.43
6/10/2019,2.482,2.785,3.178
6/17/2019,2.461,2.8,3.18
